ref,pollster,publisher,fieldwork_start,fieldwork_end,respondents,method,question_type,qid,question,party,party_as_written,seats,pct,undecided_pct,in_model,cec_publish_date
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",כחול לבן,כחול לבן,23,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",הליכוד,ליכוד,23,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?","ש""ס","ש""ס",13,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",הציונות הדתית,הציונות הדתית,10,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",יהדות התורה,יהדות התורה,9,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",הרשימה המשותפת,"חד""ש-תע""ל",9,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?","רע""ם","רע""ם",8,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",ישראל ביתנו,ישראל ביתנו,7,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",הדמוקרטים,הדמוקרטים,5,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",ביחד,ביחד,5,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",אחר,"בל""ד",4,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",עוצמה יהודית,עוצמה יהודית,4,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",ישר,ישר,,,,0,2026-08-03
4036,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",אחר,יסודות ישראל,,,,0,2026-08-03
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",הליכוד,ליכוד,23,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",ישר,ישר,23,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",ביחד,ביחד,13,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",ישראל ביתנו,ישראל ביתנו,10,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",יהדות התורה,יהדות התורה,9,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",הדמוקרטים,הדמוקרטים,9,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",עוצמה יהודית,עוצמה יהודית,8,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?","ש""ס","ש""ס",7,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?","רע""ם","רע""ם",5,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",אחר,יסודות ישראל,5,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",הציונות הדתית,הציונות הדתית,4,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",הרשימה המשותפת,"חד""ש-תע""ל",4,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",כחול לבן,כחול לבן,0,,,1,2026-08-06
4048,פרויקט המדגם (רוזנר),חדשות 13,2026-07-28,2026-07-29,956,mixed,main,1,"אם הבחירות לכנסת היו מתקיימות היום, לאיזו מפלגה היית מצביע/ה?",אחר,"בל""ד",0,,,1,2026-08-06
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",הליכוד,הליכוד בראשות בנימין נתניהו,32,24.6,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",ישר,ישר בראשות גדי איזנקוט,22,16.9,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)","ש""ס","ש""ס בראשות אריה דרעי",10,7.7,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",הדמוקרטים,הדמוקרטים בראשות יאיר גולן,10,7.7,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",יהדות התורה,יהדות התורה,8,6.2,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",ישראל ביתנו,ישראל ביתנו בראשות אביגדור ליברמן,8,6.2,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",עוצמה יהודית,עוצמה יהודית בראשות איתמר בן גביר,7,5.4,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",ביחד,יחד בראשות נפתלי בנט,7,5.4,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",הרשימה המשותפת,"חד""ש-תע""ל",6,4.6,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",הציונות הדתית,הציונות הדתית בראשות בצלאל סמוטריץ',5,3.9,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)","רע""ם","רע""מ בראשות מנסור עבאס",5,3.9,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",אחר,"בל""ד",0,2.1,,1,2026-08-16
4072,נקסט דאטה,ערוץ 14,2026-07-29,2026-07-29,539,internet,main,1,"תוצאות עיקריות - מנדטים: מפת המנדטים הסופית, כנסת בת 120 מושבים, אחוז חסימה 3.25% (no explicit question wording given)",בית ציוני,מפלגה בראשות יועז הנדל וחילי טרופר,0,2.1,,1,2026-08-16
